code,name,direction,category,parent_code,aux_dims
1001,库存现金,debit,asset,,
1002,银行存款,debit,asset,,
100201,基本存款户,debit,asset,1002,
100202,一般存款户,debit,asset,1002,
100203,外币户,debit,asset,1002,
1012,其他货币资金,debit,asset,,
101201,外埠存款,debit,asset,1012,
101202,银行汇票存款,debit,asset,1012,
101203,银行本票存款,debit,asset,1012,
101204,信用卡存款,debit,asset,1012,
101205,存出投资款,debit,asset,1012,
1101,短期投资,debit,asset,,
110101,股票,debit,asset,1101,
110102,债券,debit,asset,1101,
110103,基金,debit,asset,1101,
1121,应收票据,debit,asset,,customer
112101,银行承兑汇票,debit,asset,1121,customer
112102,商业承兑汇票,debit,asset,1121,customer
1122,应收账款,debit,asset,,customer
1123,预付账款,debit,asset,,supplier
1131,应收股利,debit,asset,,
1132,应收利息,debit,asset,,
1221,其他应收款,debit,asset,,
122101,备用金,debit,asset,1221,
122102,职工借款,debit,asset,1221,
122103,押金,debit,asset,1221,
122104,代垫款项,debit,asset,1221,
1231,坏账准备,credit,asset,,
1301,在途物资,debit,asset,,
1401,材料采购,debit,asset,,
1403,原材料,debit,asset,,
1404,材料成本差异,debit,asset,,
1405,库存商品,debit,asset,,
1407,商品进销差价,credit,asset,,
1408,委托加工物资,debit,asset,,
1411,周转材料,debit,asset,,
141101,低值易耗品,debit,asset,1411,
141102,包装物,debit,asset,1411,
1421,消耗性生物资产,debit,asset,,
1501,长期债券投资,debit,asset,,
1511,长期股权投资,debit,asset,,
1601,固定资产,debit,asset,,
160101,机器设备,debit,asset,1601,
160102,运输工具,debit,asset,1601,
160103,电子设备,debit,asset,1601,
160104,房屋建筑物,debit,asset,1601,
1602,累计折旧,credit,asset,,
1604,在建工程,debit,asset,,
160401,建筑工程,debit,asset,1604,
160402,安装工程,debit,asset,1604,
160403,待摊支出,debit,asset,1604,
1605,工程物资,debit,asset,,
1606,固定资产清理,debit,asset,,
1621,生产性生物资产,debit,asset,,
1622,生产性生物资产累计折旧,credit,asset,,
1701,无形资产,debit,asset,,
170101,软件,debit,asset,1701,
170102,土地使用权,debit,asset,1701,
1702,累计摊销,credit,asset,,
1801,长期待摊费用,debit,asset,,
1901,待处理财产损溢,debit,asset,,
190101,待处理流动资产损溢,debit,asset,1901,
190102,待处理非流动资产损溢,debit,asset,1901,
2001,短期借款,credit,liability,,
2201,应付票据,credit,liability,,supplier
2202,应付账款,credit,liability,,supplier
2203,预收账款,credit,liability,,customer
2211,应付职工薪酬,credit,liability,,
221101,工资,credit,liability,2211,
221102,职工福利费,credit,liability,2211,
221103,社会保险费,credit,liability,2211,
221104,住房公积金,credit,liability,2211,
221105,工会经费,credit,liability,2211,
221106,职工教育经费,credit,liability,2211,
2221,应交税费,credit,liability,,
222101,应交增值税,credit,liability,2221,
222102,未交增值税,credit,liability,2221,
222103,应交企业所得税,credit,liability,2221,
222104,应交个人所得税,credit,liability,2221,
222105,应交城市维护建设税,credit,liability,2221,
222106,应交教育费附加,credit,liability,2221,
222107,应交地方教育附加,credit,liability,2221,
222108,应交印花税,credit,liability,2221,
222109,应交残疾人就业保障金,credit,liability,2221,
2231,应付利息,credit,liability,,
2232,应付利润,credit,liability,,
2241,其他应付款,credit,liability,,
224101,押金,credit,liability,2241,
224102,暂收款,credit,liability,2241,
2401,递延收益,credit,liability,,
2501,长期借款,credit,liability,,
2701,长期应付款,credit,liability,,
3001,实收资本,credit,equity,,
3002,资本公积,credit,equity,,
3101,盈余公积,credit,equity,,
310101,法定盈余公积,credit,equity,3101,
310102,任意盈余公积,credit,equity,3101,
3103,本年利润,credit,equity,,
3104,利润分配,credit,equity,,
310401,提取法定盈余公积,credit,equity,3104,
310402,应付利润,credit,equity,3104,
310410,未分配利润,credit,equity,3104,
5001,生产成本,debit,cost,,
500101,直接材料,debit,cost,5001,
500102,直接人工,debit,cost,5001,
500103,制造费用,debit,cost,5001,
5101,制造费用,debit,cost,,
510101,工资,debit,cost,5101,
510102,折旧费,debit,cost,5101,
510103,水电费,debit,cost,5101,
510104,物料消耗,debit,cost,5101,
510105,低值易耗品摊销,debit,cost,5101,
510106,停工损失,debit,cost,5101,
5201,劳务成本,debit,cost,,
5301,研发支出,debit,cost,,
530101,费用化支出,debit,cost,5301,
530102,资本化支出,debit,cost,5301,
6001,主营业务收入,credit,pnl,,
6051,其他业务收入,credit,pnl,,
6101,投资收益,credit,pnl,,
6301,营业外收入,credit,pnl,,
6401,主营业务成本,debit,pnl,,
6402,其他业务成本,debit,pnl,,
6403,税金及附加,debit,pnl,,
6601,销售费用,debit,pnl,,department
660101,运输装卸费,debit,pnl,6601,department
660102,展览广告费,debit,pnl,6601,department
660103,销售服务费,debit,pnl,6601,department
660104,销售部门职工薪酬,debit,pnl,6601,department
6602,管理费用,debit,pnl,,department|project
660201,职工薪酬,debit,pnl,6602,department
660202,办公费,debit,pnl,6602,department
660203,差旅费,debit,pnl,6602,department
660204,业务招待费,debit,pnl,6602,department|project
660205,折旧费,debit,pnl,6602,department
660206,无形资产摊销,debit,pnl,6602,department
6603,财务费用,debit,pnl,,
660301,利息支出,debit,pnl,6603,
660302,利息收入,debit,pnl,6603,
660303,手续费,debit,pnl,6603,
6711,营业外支出,debit,pnl,,
671101,捐赠支出,debit,pnl,6711,
671102,非常损失,debit,pnl,6711,
6801,所得税费用,debit,pnl,,
